id;name_en;name_ar;status;code
1;(Chagos Gorgeous Frozen;Car;41480;CSS
2;Oval Reunion;Lats;65360;Fort
3;Markets;evolve;24890;turquoise
4;Analyst Table;TCP;15947;invoice Assistant Object-based
5;Metrics Handmade;purple Bedfordshire;656;Barbados Public-key
6;e-business Bedfordshire;Cambridgeshire Oklahoma Internal;73454;SSL SDD Rubber
7;Hat;SDD frictionless;31270;gold Tools
8;alarm human-resource;Corporate innovate SSL;76415;Buckinghamshire bleeding-edge Granite
9;Dynamic;neural transmitting;98171;THX generating synergies
10;Lake Cambridgeshire;Senior encompassing Cheese;80163;adapter
